Configuracion,AutoMpg,AutoPrice,BodyFat,Cpu,Housing,Sensory,Servo,Veteran
100.0:0.3:4.0:0.5,0.22002,0.00028,0.41908,0.03057,0.19096,0.54658,0.46267,0.00416
100.0:0.5:8.0:0.95,0.22324,0.00028,0.44328,0.03563,0.19059,0.54766,0.4669,0.00408
100.0:0.7:16.0:0.2,0.22374,0.00026,0.42757,0.03601,0.18979,0.54644,0.46538,0.00439
100.0:0.95:16.0:0.7,0.22406,0.00026,0.41884,0.03664,0.19118,0.54894,0.46779,0.00438
150.0:0.15:20.0:0.7,0.22175,0.00029,0.42116,0.04127,0.18855,0.54381,0.46773,0.00427
150.0:0.3:8.0:0.35,0.22175,0.00028,0.42385,0.04035,0.18662,0.54381,0.46773,0.00416
150.0:0.5:12.0:0.5,0.22141,0.00025,0.42052,0.03776,0.1884,0.5487,0.46501,0.00392
150.0:0.7:4.0:0.35,0.22274,0.00026,0.43161,0.04071,0.18902,0.54617,0.46403,0.00435
150.0:0.95:16.0:0.95,0.22175,0.0003,0.42188,0.04562,0.18855,0.54381,0.46773,0.00426
200.0:0.15:8.0:0.2,0.22244,0.00025,0.39132,0.03417,0.18947,0.5456,0.46748,0.00412
200.0:0.3:12.0:0.2,0.22316,0.00025,0.40572,0.04722,0.1899,0.54944,0.4567,0.00409
200.0:0.5:16.0:0.35,0.22269,0.00026,0.39264,0.04622,0.1895,0.54621,0.46367,0.00462
200.0:0.7:20.0:0.5,0.22107,0.00028,0.41556,0.03761,0.18822,0.54814,0.47022,0.00374
200.0:0.95:4.0:0.7,0.2217,0.00027,0.421,0.0368,0.18807,0.54774,0.46654,0.00385
250.0:0.15:4.0:0.95,0.22239,0.00026,0.40953,0.03632,0.18727,0.54517,0.4637,0.00471
250.0:0.3:16.0:0.7,0.22224,0.00026,0.41626,0.04669,0.18898,0.54358,0.46614,0.00438
250.0:0.5:20.0:0.2,0.22152,0.00027,0.40144,0.0394,0.19083,0.54719,0.46385,0.00426
250.0:0.7:12.0:0.7,0.22222,0.00028,0.4224,0.03929,0.18968,0.54599,0.46383,0.00419
250.0:0.95:8.0:0.5,0.22224,0.00026,0.41626,0.04669,0.18898,0.54358,0.46614,0.00438
300.0:0.15:16.0:0.5,0.22315,0.00025,0.41514,0.04423,0.1884,0.54718,0.46164,0.0042
300.0:0.3:20.0:0.95,0.22315,0.00025,0.41514,0.04423,0.1884,0.54718,0.46164,0.0042
300.0:0.5:4.0:0.2,0.22204,0.00028,0.42186,0.05106,0.19008,0.54659,0.46867,0.00442
300.0:0.7:8.0:0.7,0.22263,0.00028,0.42626,0.05106,0.19008,0.54639,0.46934,0.00417
300.0:0.95:12.0:0.35,0.22409,0.00025,0.4161,0.03937,0.18681,0.54694,0.46338,0.00405
100.0:0.95:20.0:0.35,0.22313,0.00026,0.42196,0.04188,0.18934,0.54555,0.46462,0.00457
150.0:0.95:16.0:0.2,0.22175,0.00029,0.42116,0.04109,0.18855,0.54381,0.46773,0.00429
250.0:0.95:12.0:0.35,0.22222,0.00028,0.4224,0.03929,0.18968,0.54599,0.46383,0.00419
200.0:0.7:12.0:0.95,0.22303,0.00025,0.41322,0.0433,0.18939,0.54968,0.4567,0.00416
100.0:0.5:8.0:0.7,0.2237,0.00027,0.44328,0.03106,0.1908,0.54672,0.46611,0.00397
